N,r,rho,regime,L,window,validated_R,R,precision,recall,FP,FN,TP
1013,253,0.24975320829220138,TRANSITION,262144,hamming,10,6,0.9914204003813155,0.8888888888888888,9.0,28.0,224.0
1013,253,0.24975320829220138,TRANSITION,262144,hamming,10,7,0.9914204003813155,0.8888888888888888,9.0,28.0,224.0
1013,253,0.24975320829220138,TRANSITION,262144,hamming,10,8,0.9914204003813155,0.8888888888888888,9.0,28.0,224.0
1013,253,0.24975320829220138,TRANSITION,262144,hamming,10,9,0.9914204003813155,0.8888888888888888,9.0,28.0,224.0
1013,253,0.24975320829220138,TRANSITION,262144,hamming,10,10,0.9914204003813155,0.8888888888888888,9.0,28.0,224.0
1013,253,0.24975320829220138,TRANSITION,262144,hamming,10,11,0.9914204003813155,0.8888888888888888,9.0,28.0,224.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,2,0.6606291706387035,0.8333333333333334,356.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,3,0.8493803622497617,0.8333333333333334,158.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,4,0.9561487130600572,0.8333333333333334,46.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,5,0.9857006673021925,0.8333333333333334,15.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,6,0.9895138226882746,0.8333333333333334,11.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,7,0.9895138226882746,0.8333333333333334,11.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,8,0.9895138226882746,0.8333333333333334,11.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,9,0.9895138226882746,0.8333333333333334,11.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,10,0.9895138226882746,0.8333333333333334,11.0,42.0,210.0
1013,253,0.24975320829220138,TRANSITION,262144,blackman,10,11,0.9895138226882746,0.8333333333333334,11.0,42.0,210.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,2,0.9695817490494296,0.0722057368941642,8.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,3,0.9923954372623575,0.0722057368941642,2.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,4,1.0,0.0722057368941642,0.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,5,1.0,0.0722057368941642,0.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,6,1.0,0.0722057368941642,0.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,7,1.0,0.0722057368941642,0.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,8,1.0,0.0722057368941642,0.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,9,1.0,0.0722057368941642,0.0,938.0,73.0
1013,1012,0.9990128331688055,LOW_SNR,65536,hann,9,10,1.0,0.0722057368941642,0.0,938.0,73.0
