source,title,doi,url,pdf_url,local_pdf,year,venue,query
arxiv,"Theta operators, Goss polynomials, and v-adic modular forms",,http://arxiv.org/abs/1605.04235v3,http://arxiv.org/pdf/1605.04235v3,/home/admin/dev/VRA/Novelty/papers/Theta_operators_Goss_polynomials_and_v-adic_modular_forms.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"ExpSOS: Secure and Verifiable Outsourcing of Exponentiation Operations
  for Mobile Cloud Computing",,http://arxiv.org/abs/1602.08472v1,http://arxiv.org/pdf/1602.08472v1,/home/admin/dev/VRA/Novelty/papers/ExpSOS_Secure_and_Verifiable_Outsourcing_of_Exponentiation_Operations_for_Mobile_Cloud_Computing.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"New Residue Arithmetic Based Barrett Algorithms, Part II: Modular
  Polynomial Computations",,http://arxiv.org/abs/1602.01553v1,http://arxiv.org/pdf/1602.01553v1,/home/admin/dev/VRA/Novelty/papers/New_Residue_Arithmetic_Based_Barrett_Algorithms_Part_II_Modular_Polynomial_Computations.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Modularity and Projection of Bipartite Networks,,http://arxiv.org/abs/1908.02520v1,http://arxiv.org/pdf/1908.02520v1,/home/admin/dev/VRA/Novelty/papers/Modularity_and_Projection_of_Bipartite_Networks.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Modularity of Erdős-Rényi random graphs,,http://arxiv.org/abs/1808.02243v2,http://arxiv.org/pdf/1808.02243v2,/home/admin/dev/VRA/Novelty/papers/Modularity_of_Erdős-Rényi_random_graphs.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,A short note on the multiplicative energy of the spectrum of a set,,http://arxiv.org/abs/1805.10468v1,http://arxiv.org/pdf/1805.10468v1,/home/admin/dev/VRA/Novelty/papers/A_short_note_on_the_multiplicative_energy_of_the_spectrum_of_a_set.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Network community detection using modularity density measures,,http://arxiv.org/abs/1708.06810v1,http://arxiv.org/pdf/1708.06810v1,/home/admin/dev/VRA/Novelty/papers/Network_community_detection_using_modularity_density_measures.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Modular categories, integrality and Egyptian fractions",,http://arxiv.org/abs/1012.0814v2,http://arxiv.org/pdf/1012.0814v2,/home/admin/dev/VRA/Novelty/papers/Modular_categories_integrality_and_Egyptian_fractions.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,"Modular Meshed Ultra-Wideband Aided Inertial Navigation with Robust
  Anchor Calibration",,http://arxiv.org/abs/2408.14081v1,http://arxiv.org/pdf/2408.14081v1,/home/admin/dev/VRA/Novelty/papers/Modular_Meshed_Ultra-Wideband_Aided_Inertial_Navigation_with_Robust_Anchor_Calibration.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Narrowband Interference Detection via Deep Learning,,http://arxiv.org/abs/2301.09607v1,http://arxiv.org/pdf/2301.09607v1,/home/admin/dev/VRA/Novelty/papers/Narrowband_Interference_Detection_via_Deep_Learning.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Space-Efficient and Noise-Robust Quantum Factoring,,http://arxiv.org/abs/2310.00899v5,http://arxiv.org/pdf/2310.00899v5,/home/admin/dev/VRA/Novelty/papers/Space-Efficient_and_Noise-Robust_Quantum_Factoring.pdf,,,multiplicative order detection spectrum modular exponentiation
arxiv,Solutions of equations involving the modular $j$ function,,http://arxiv.org/abs/1907.09858v3,http://arxiv.org/pdf/1907.09858v3,/home/admin/dev/VRA/Novelty/papers/Solutions_of_equations_involving_the_modular_j_function.pdf,,,multiplicative order detection spectrum modular exponentiation
