source,target,weight
9,71,0.9487
9,72,0.9487
9,73,0.9487
10,11,1.0000
10,12,1.0000
10,13,1.0000
10,14,0.9615
10,15,0.9615
10,16,0.9615
10,17,0.9615
10,18,0.9615
10,19,0.7593
10,20,0.9285
10,21,0.7881
10,22,0.9487
10,23,0.4082
10,24,0.8049
10,26,0.8944
10,27,1.0000
10,28,0.8944
10,29,1.0000
10,30,1.0000
10,31,1.0000
10,32,1.0000
10,33,0.8944
10,34,1.0000
10,36,1.0000
10,37,0.8944
10,38,1.0000
10,39,1.0000
10,40,0.8944
10,41,0.5774
10,42,1.0000
10,43,1.0000
10,44,0.8944
10,45,0.6047
10,46,0.6047
10,47,0.9191
10,48,0.6047
10,49,0.6047
10,50,0.9191
10,51,0.6047
10,52,0.9191
10,53,0.6047
10,54,0.5039
10,55,0.5039
10,56,0.8575
10,58,1.0000
10,59,1.0000
10,60,1.0000
10,61,1.0000
10,62,0.7071
10,63,1.0000
10,64,1.0000
10,65,1.0000
10,66,1.0000
10,67,1.0000
10,68,1.0000
10,69,1.0000
10,70,0.7071
10,71,1.0000
10,72,1.0000
10,73,1.0000
11,12,1.0000
11,13,1.0000
11,14,0.9615
11,15,0.9615
11,16,0.9615
11,17,0.9615
11,18,0.9615
11,19,0.7593
11,20,0.9285
11,21,0.7881
11,22,0.9487
11,23,0.4082
11,24,0.8049
11,26,0.8944
11,27,1.0000
11,28,0.8944
11,29,1.0000
11,30,1.0000
11,31,1.0000
11,32,1.0000
11,33,0.8944
11,34,1.0000
11,36,1.0000
11,37,0.8944
11,38,1.0000
11,39,1.0000
11,40,0.8944
11,41,0.5774
11,42,1.0000
11,43,1.0000
11,44,0.8944
11,45,0.6047
11,46,0.6047
11,47,0.9191
11,48,0.6047
11,49,0.6047
11,50,0.9191
11,51,0.6047
11,52,0.9191
11,53,0.6047
11,54,0.5039
11,55,0.5039
11,56,0.8575
11,58,1.0000
11,59,1.0000
11,60,1.0000
11,61,1.0000
11,62,0.7071
11,63,1.0000
11,64,1.0000
11,65,1.0000
11,66,1.0000
11,67,1.0000
11,68,1.0000
11,69,1.0000
11,70,0.7071
11,71,1.0000
11,72,1.0000
11,73,1.0000
12,13,1.0000
12,14,0.9615
12,15,0.9615
12,16,0.9615
12,17,0.9615
12,18,0.9615
12,19,0.7593
12,20,0.9285
12,21,0.7881
12,22,0.9487
12,23,0.4082
12,24,0.8049
12,26,0.8944
12,27,1.0000
12,28,0.8944
12,29,1.0000
12,30,1.0000
12,31,1.0000
12,32,1.0000
12,33,0.8944
12,34,1.0000
12,36,1.0000
12,37,0.8944
12,38,1.0000
12,39,1.0000
12,40,0.8944
12,41,0.5774
12,42,1.0000
12,43,1.0000
12,44,0.8944
12,45,0.6047
12,46,0.6047
12,47,0.9191
12,48,0.6047
12,49,0.6047
12,50,0.9191
12,51,0.6047
12,52,0.9191
12,53,0.6047
12,54,0.5039
12,55,0.5039
12,56,0.8575
12,58,1.0000
12,59,1.0000
12,60,1.0000
12,61,1.0000
12,62,0.7071
12,63,1.0000
12,64,1.0000
12,65,1.0000
12,66,1.0000
12,67,1.0000
12,68,1.0000
12,69,1.0000
12,70,0.7071
12,71,1.0000
12,72,1.0000
12,73,1.0000
13,14,0.9615
13,15,0.9615
13,16,0.9615
13,17,0.9615
13,18,0.9615
13,19,0.7593
13,20,0.9285
13,21,0.7881
13,22,0.9487
13,23,0.4082
13,24,0.8049
13,26,0.8944
13,27,1.0000
13,28,0.8944
13,29,1.0000
13,30,1.0000
13,31,1.0000
13,32,1.0000
13,33,0.8944
13,34,1.0000
13,36,1.0000
13,37,0.8944
13,38,1.0000
13,39,1.0000
13,40,0.8944
13,41,0.5774
13,42,1.0000
13,43,1.0000
13,44,0.8944
13,45,0.6047
13,46,0.6047
13,47,0.9191
13,48,0.6047
13,49,0.6047
13,50,0.9191
13,51,0.6047
13,52,0.9191
13,53,0.6047
13,54,0.5039
13,55,0.5039
13,56,0.8575
13,58,1.0000
13,59,1.0000
13,60,1.0000
13,61,1.0000
13,62,0.7071
